date,close,legacy_bear,trend,drawdown,vol_pctile,multidim_regime
2018-10-27,6505.6,0,-0.0955808120495949,-0.20410280501888933,0.07357859531772576,2
2018-10-28,6489.93,0,-0.0974682752505025,-0.1605240249232628,0.07,2
2018-10-29,6344.5,0,-0.11672324468809869,-0.16570014386067344,0.11627906976744186,2
2018-10-30,6330.87,1,-0.11767094016677104,-0.158767744172975,0.11589403973509933,2
2018-10-31,6371.93,0,-0.11094039763781016,-0.14110810672374696,0.013201320132013201,2
2018-11-01,6410.0,0,-0.10441335875476743,-0.1289648406182312,0.013157894736842105,2
2018-11-02,6433.98,0,-0.10003756942191755,-0.1257062722684692,0.013114754098360656,2
2018-11-03,6387.09,1,-0.1056594429812685,-0.13207800996322905,0.026143790849673203,2
2018-11-04,6485.85,1,-0.09075675670901684,-0.11865781771041406,0.0,1
2018-11-05,6468.99,1,-0.09196894276323586,-0.12094887118735276,0.0,1
2018-11-06,6519.11,1,-0.08342985698724181,-0.1141382187398935,0.006472491909385114,1
2018-11-07,6578.46,0,-0.07356347193117896,-0.10607333001769248,0.0,1
2018-11-08,6479.84,0,-0.08596708089813532,-0.11947449810165978,0.003215434083601286,1
2018-11-09,6419.99,0,-0.09280083278187101,-0.12760733028403093,0.003205128205128205,1
2018-11-10,6433.05,0,-0.08890382066622426,-0.1258326471043857,0.006389776357827476,1
2018-11-11,6449.81,0,-0.08496193567151078,-0.12355518231948104,0.009554140127388535,1
2018-11-12,6453.07,0,-0.08266903256735536,-0.12311219095917147,0.009523809523809525,1
2018-11-13,6457.66,0,-0.08041015496239368,-0.12248846999480922,0.006329113924050633,1
2018-11-14,5922.41,0,-0.1545692695869969,-0.195221944106992,0.10725552050473186,1
2018-11-15,5753.4,1,-0.1765411878829184,-0.2181881925137179,0.11635220125786164,1
2018-11-16,5655.94,1,-0.18840509585125753,-0.23143173177009024,0.13166144200626959,1
2018-11-17,5628.29,1,-0.19037261669408512,-0.23518900511750152,0.13125,1
2018-11-18,5662.0,1,-0.18341739072031316,-0.2306082570328276,0.11526479750778816,2
2018-11-19,4910.03,1,-0.2893875579222489,-0.3327911445211753,0.4937888198757764,2
2018-11-20,4558.86,1,-0.33774072498393837,-0.3805105543371029,0.544891640866873,2
