date,funding_rate_mean,funding_rate_sum,funding_rate_max,funding_rate_min
2020-06-10,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-11,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-12,5.299333333333333e-05,0.00015898,0.0001,-3.816e-05
2020-06-13,5.0916666666666666e-05,0.00015275,0.0001,-1.942e-05
2020-06-14,9.034e-05,0.00027102,0.0001,7.102e-05
2020-06-15,-4.120666666666666e-05,-0.00012361999999999999,0.0001,-0.00018213
2020-06-16,1.5949999999999998e-05,4.785e-05,0.0001,-0.00015215
2020-06-17,2.3179999999999995e-05,6.953999999999999e-05,7.764e-05,-8.32e-05
2020-06-18,-4.656666666666667e-05,-0.0001397,7.624e-05,-0.00011589
2020-06-19,3.927666666666667e-05,0.00011783,0.0001,-1.57e-06
2020-06-20,7.062000000000001e-05,0.00021186000000000002,0.0001,1.186e-05
2020-06-21,1.8843333333333333e-05,5.653e-05,0.0001,-3.057e-05
2020-06-22,8.928e-05,0.00026784,0.0001,6.784e-05
2020-06-23,0.00010738333333333333,0.00032215,0.00012215,0.0001
2020-06-24,0.00010428666666666667,0.00031286,0.00011286,0.0001
2020-06-25,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-26,9.800333333333335e-05,0.00029401000000000004,0.0001,9.401e-05
2020-06-27,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-28,8.289e-05,0.00024867,0.0001,4.867e-05
2020-06-29,0.0001,0.00030000000000000003,0.0001,0.0001
2020-06-30,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-01,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-02,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-03,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-04,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-05,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-06,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-07,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-08,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-09,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-10,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-11,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-12,0.0001,0.00030000000000000003,0.0001,0.0001
2020-07-13,0.0001,0.00030000000000000003,0.0001,0.0001
